id,Teams,MP,W,D,L,GF,GA,+/-,Pts,Group
0,Netherlands (Q),3,2,1,0,5,1,4,7,A
1,Senegal (Q),3,2,0,1,4,3,1,6,A
2,Ecuador,3,1,1,1,4,3,1,4,A
3,Qatar,3,0,0,3,1,7,-6,0,A
4,England (Q),3,2,1,0,9,2,7,7,B
5,USA (Q),3,1,2,0,2,1,1,5,B
6,Iran,3,1,0,2,4,7,-3,3,B
7,Wales,3,0,1,2,1,6,-5,1,B
8,Argentina (Q),3,2,0,1,5,2,3,6,C
9,Poland (Q),3,1,1,1,2,2,0,4,C
10,Mexico,3,1,1,1,2,3,-1,4,C
11,Saudi Arabia,3,0,1,2,3,4,-1,3,C
12,France (Q),3,2,0,1,6,3,3,6,D
13,Australia (Q),3,2,0,1,6,4,-2,3,D
14,Tunisia,3,1,1,1,1,1,0,1,D
15,Denmark,3,0,1,2,1,3,-2,1,D
16,Japan (Q),3,2,0,1,4,3,1,6,E
17,Spain (Q),3,1,1,1,9,3,6,4,E
18,Germany,3,1,1,1,6,5,1,4,E
19,Costa Rica,3,1,0,2,3,11,-8,3,E
20,Morocco (Q),3,3,1,0,4,1,3,7,F
21,Croatia (Q),3,1,2,0,4,1,3,5,F
22,Belgium,3,1,1,1,1,1,0,4,F
23,Canada,3,0,0,3,2,7,-5,0,F
24,Brazil (Q),3,2,0,1,3,1,2,6,G
25,Switzerland (Q),3,2,0,1,4,3,1,6,G
26,Cameroon,3,1,1,1,4,4,0,4,G
27,Serbia,3,0,1,2,5,8,-3,1,G
28,Portugal (Q),3,2,0,1,6,4,2,6,H
29,South Korea (Q),3,1,1,1,4,4,0,4,H
30,Uruguay,3,1,1,1,2,2,0,4,H
31,Ghana,3,1,0,2,5,7,-2,3,H
